year,plhiv_adults,art_coverage_pct,population
1990,420000,,36684063
1991,470000,,37925817
1992,510000,,39228910
1993,550000,,40656336
1994,600000,,42626876
1995,620000,,44433704
1996,620000,,45296124
1997,620000,,46029902
1998,620000,,47297600
1999,620000,,48912971
2000,620000,0,50507442
2001,610000,0,52132646
2002,600000,0,53750524
2003,590000,0,55343867
2004,580000,1,56997741
2005,570000,1,58775724
2006,560000,3,60615908
2007,550000,3,62477752
2008,540000,4,64390664
2009,530000,6,66412044
2010,520000,7,68563038
2011,520000,9,70849311
2012,510000,11,73254618
2013,510000,14,75789395
2014,500000,18,78403242
2015,500000,21,81035531
2016,500000,27,83956415
2017,500000,37,87083398
2018,510000,36,90047644
2019,510000,40,92947442
2020,510000,53,95989998
2021,520000,62,99148932
2022,530000,67,102396968
2023,540000,73,105789731
2024,540000,71,109276265
